sensitivity,mean_score,sd_score,games,participant
1,90.633,13.148,27,p01
2,86.075,20.504,34,p01
3,90.084,20.86,38,p01
4,90.268,11.051,36,p01
5,88.682,12.586,33,p01
1,92.659,13.043,18,p02
2,95.731,2.145,20,p02
3,95.035,2.888,34,p02
4,94.628,2.67,30,p02
5,94,3.941,21,p02
1,71.426,13.153,29,p03
2,70.58,9.851,18,p03
3,57.546,12.023,66,p03
4,51.16,10.068,35,p03
5,47.008,9.41,23,p03
1,75.004,10.219,31,p04
2,80.119,11.513,22,p04
3,74.824,17.178,19,p04
4,74.984,13.302,17,p04
5,68.018,14.348,26,p04
1,64.08,2.584,29,p05
2,64.32,1.107,22,p05
3,64.174,1.109,46,p05
4,64.538,1.312,43,p05
5,64.45,2.564,20,p05
5,87.641,14.018,175,p06
1,84.433,7.703,14,p07
2,87.866,12.226,12,p07
3,90.354,5.876,7,p07
4,82.439,26.913,13,p07
5,87.917,6.464,7,p07
1,92.144,2.865,28,p08
2,92.873,6.258,20,p08
3,91.11,6.473,47,p08
4,89.569,9.531,47,p08
5,89.499,4.939,36,p08
5,96.282,5.608,105,p09
5,97.502,3.312,142,p10
1,96.078,1.575,52,p11
2,94.738,4.048,49,p11
3,95.051,4.756,56,p11
4,94.193,5.369,57,p11
5,94.273,2.682,51,p11
3,79.33,19.076,68,p12
5,91.728,12.599,74,p13
